Year/Année,Name/Nom,Frequency/Fréquence
1957,JOSEPH,3946
1956,JOSEPH,3935
1958,JOSEPH,3853
1960,JOSEPH,3840
1959,JOSEPH,3811
1962,DAVID,3805
1963,DAVID,3740
1955,JOSEPH,3681
1960,DAVID,3664
1959,DAVID,3651
1961,JOSEPH,3650
1964,DAVID,3607
1954,JOSEPH,3566
1947,JOHN,3546
1963,JOSEPH,3542
1955,JOHN,3534
1962,JOSEPH,3534
1955,DAVID,3525
1954,JOHN,3515
1953,JOHN,3513
1952,JOHN,3492
1961,DAVID,3492
1957,JOHN,3451
1958,DAVID,3437
1947,JOSEPH,3427
1964,JOHN,3417
1955,ROBERT,3406
1964,JOSEPH,3398
1947,ROBERT,3396
1951,JOHN,3390
1957,ROBERT,3388
1954,ROBERT,3364
1956,JOHN,3364
1957,DAVID,3364
1953,JOSEPH,3355
1961,JOHN,3341
1959,JOHN,3337
1956,ROBERT,3332
1953,ROBERT,3326
1952,ROBERT,3321
1962,ROBERT,3314
1948,JOHN,3311
1949,JOHN,3308
1952,JOSEPH,3306
1962,JOHN,3296
1946,JOSEPH,3291
1948,JOSEPH,3284
1963,ROBERT,3283
1959,ROBERT,3279
1961,ROBERT,3253
1960,JOHN,3251
1950,JOHN,3243
1964,ROBERT,3243
1949,ROBERT,3242
1954,DAVID,3242
1948,ROBERT,3240
1960,ROBERT,3238
1958,ROBERT,3232
1951,ROBERT,3229
1946,JOHN,3222
1958,JOHN,3207
1945,JOSEPH,3205
1963,JOHN,3159
1950,ROBERT,3158
1956,DAVID,3157
1965,DAVID,3154
1951,JOSEPH,3153
1950,JOSEPH,3137
1965,JOSEPH,3095
1966,DAVID,3070
1963,MICHAEL,3051
1953,DAVID,3046
1964,MICHAEL,3034
1943,JOSEPH,3019
1942,JOSEPH,3011
1944,JOSEPH,2993
1961,MICHAEL,2991
1967,DAVID,2990
1949,JOSEPH,2980
1965,ROBERT,2975
1946,ROBERT,2971
1962,MICHAEL,2945
1960,MICHAEL,2944
1965,MICHAEL,2941
1984,MICHAEL,2914
1941,JOSEPH,2893
1965,JOHN,2846
1980,MICHAEL,2846
1976,MICHAEL,2828
1945,JOHN,2826
1983,MICHAEL,2826
1982,MICHAEL,2819
1958,MICHAEL,2817
1959,MICHAEL,2816
1952,DAVID,2807
1970,MICHAEL,2805
1979,MICHAEL,2805
1975,MICHAEL,2800
1920,JOHN,2789
1927,JOSEPH,2787
1978,MICHAEL,2772
1932,JOSEPH,2769
1990,MICHAEL,2766
1930,JOSEPH,2760
1974,JASON,2751
1968,MICHAEL,2749
1928,JOSEPH,2747
1966,MICHAEL,2741
1969,MICHAEL,2740
1931,JOSEPH,2735
1939,JOSEPH,2733
1989,MICHAEL,2731
1973,JASON,2730
1968,DAVID,2724
1985,MICHAEL,2724
1936,JOSEPH,2707
1921,JOHN,2705
1969,DAVID,2701
1937,JOSEPH,2694
1940,JOSEPH,2694
1977,MICHAEL,2693
1986,MICHAEL,2688
1967,MICHAEL,2685
1929,JOSEPH,2678
1981,MICHAEL,2677
1935,JOSEPH,2673
1938,JOSEPH,2671
1970,DAVID,2665
1988,MICHAEL,2664
1957,MICHAEL,2658
1974,MICHAEL,2651
1921,WILLIAM,2646
1926,JOSEPH,2633
1943,JOHN,2632
1966,JOHN,2631
1966,ROBERT,2628
1923,JOHN,2627
1987,MICHAEL,2627
1922,JOHN,2625
1969,ROBERT,2625
1925,JOSEPH,2616
1942,JOHN,2601
1972,JASON,2601
1934,JOSEPH,2585
1933,JOSEPH,2580
1970,ROBERT,2580
1924,WILLIAM,2573
1973,MICHAEL,2571
1922,WILLIAM,2569
1968,ROBERT,2563
1991,MICHAEL,2560
1924,JOHN,2540
1944,JOHN,2526
1947,WILLIAM,2523
1925,JOHN,2520
1920,WILLIAM,2517
1966,JOSEPH,2517
1925,WILLIAM,2511
1959,JAMES,2504
1928,JOHN,2501
1942,ROBERT,2499
1971,MICHAEL,2499
1951,DAVID,2498
1926,WILLIAM,2488
1945,ROBERT,2486
1930,JOHN,2483
1967,ROBERT,2481
1931,JOHN,2480
1972,MICHAEL,2471
1951,WILLIAM,2465
1956,MICHAEL,2462
1975,JASON,2459
1917,JOHN,2453
1960,JAMES,2449
1927,JOHN,2442
1943,ROBERT,2434
1947,DAVID,2434
1950,DAVID,2433
1955,JAMES,2433
1947,JAMES,2429
1944,ROBERT,2426
1948,WILLIAM,2421
1930,WILLIAM,2417
1949,DAVID,2416
1928,WILLIAM,2415
1926,JOHN,2408
1954,JAMES,2408
1919,JOHN,2407
1923,WILLIAM,2406
1987,MATTHEW,2397
1989,MATTHEW,2394
1983,CHRISTOPHER,2388
1971,DAVID,2387
1929,JOHN,2384
1986,MATTHEW,2378
1929,WILLIAM,2366
1918,JOHN,2364
1941,JOHN,2363
1982,CHRISTOPHER,2363
1931,WILLIAM,2362
1984,CHRISTOPHER,2361
1967,JOHN,2355
1952,WILLIAM,2350
1949,WILLIAM,2344
1976,JASON,2341
1953,JAMES,2335
1946,WILLIAM,2333
1958,JAMES,2333
1948,DAVID,2331
1952,JAMES,2331
1956,WILLIAM,2328
1957,JAMES,2328
1967,JOSEPH,2322
1988,MATTHEW,2309
1927,WILLIAM,2305
1955,MICHAEL,2304
1940,JOHN,2301
1961,JAMES,2296
1984,MATTHEW,2295
1953,WILLIAM,2293
1954,WILLIAM,2293
1964,JAMES,2292
1948,JAMES,2272
1950,WILLIAM,2268
1955,WILLIAM,2262
1942,WILLIAM,2259
1956,JAMES,2257
1975,CHRISTOPHER,2246
1985,CHRISTOPHER,2245
1941,ROBERT,2243
1951,JAMES,2240
1962,JAMES,2237
1917,WILLIAM,2236
1983,MATTHEW,2232
1991,MATTHEW,2229
1938,ROBERT,2226
1971,ROBERT,2226
1992,MICHAEL,2218
1918,WILLIAM,2208
1954,MICHAEL,2206
1972,DAVID,2203
1990,MATTHEW,2200
1933,JOHN,2199
1932,JOHN,2192
1943,WILLIAM,2188
1968,JOHN,2185
1963,JAMES,2181
1938,JOHN,2176
1972,CHRISTOPHER,2172
1985,MATTHEW,2170
1986,CHRISTOPHER,2170
1949,JAMES,2168
1950,JAMES,2159
1919,WILLIAM,2150
1946,JAMES,2138
1981,CHRISTOPHER,2133
1957,WILLIAM,2124
1977,JASON,2121
1934,JOHN,2120
1935,JOHN,2113
1980,CHRISTOPHER,2113
1974,CHRISTOPHER,2109
1945,WILLIAM,2106
1958,WILLIAM,2106
1959,WILLIAM,2102
1970,JOHN,2101
1973,CHRISTOPHER,2101
1969,JOHN,2095
1968,JOSEPH,2094
1987,ANDREW,2091
1939,ROBERT,2088
1932,WILLIAM,2087
1920,J,2086
1939,JOHN,2086
1971,JASON,2082
1940,ROBERT,2073
1936,JOHN,2069
1953,MICHAEL,2064
1977,CHRISTOPHER,2062
1988,ANDREW,2061
1941,WILLIAM,2060
1971,CHRISTOPHER,2059
1978,CHRISTOPHER,2056
1976,CHRISTOPHER,2051
1958,RICHARD,2035
1972,ROBERT,2032
1992,MATTHEW,2032
1946,DAVID,2029
1979,CHRISTOPHER,2029
1993,MICHAEL,2027
1986,ANDREW,2025
1989,CHRISTOPHER,2025
1944,WILLIAM,2024
1978,JASON,2024
1965,JAMES,2020
1937,ROBERT,2015
1974,DAVID,2008
1975,DAVID,1988
1973,DAVID,1985
1982,MATTHEW,1980
1990,CHRISTOPHER,1979
1969,JOSEPH,1976
1988,CHRISTOPHER,1975
1987,CHRISTOPHER,1974
1957,RICHARD,1973
1953,RICHARD,1972
1933,WILLIAM,1969
1960,WILLIAM,1957
1959,RICHARD,1949
1954,RICHARD,1943
1934,WILLIAM,1940
1979,JASON,1938
1961,WILLIAM,1937
1955,RICHARD,1934
1940,WILLIAM,1933
1938,WILLIAM,1930
1918,J,1929
1995,MATTHEW,1927
1966,JAMES,1916
1937,JOHN,1914
1979,DAVID,1914
1980,JASON,1914
1977,DAVID,1907
1956,RICHARD,1904
1993,MATTHEW,1902
1921,JOSEPH,1899
1964,PAUL,1898
1952,RICHARD,1894
1943,JAMES,1888
1980,DAVID,1883
1936,WILLIAM,1874
1989,ANDREW,1873
1936,ROBERT,1870
1935,WILLIAM,1865
1919,J,1858
1963,PAUL,1855
1981,MATTHEW,1848
1942,JAMES,1843
1994,MICHAEL,1839
1944,JAMES,1835
1960,RICHARD,1833
1994,MATTHEW,1831
1971,JOHN,1827
1978,DAVID,1826
1976,DAVID,1820
1970,JOSEPH,1818
1970,CHRISTOPHER,1810
1990,ANDREW,1804
1945,JAMES,1802
1996,MATTHEW,1800
1932,ROBERT,1791
1983,DAVID,1789
1961,RICHARD,1786
1964,MARK,1785
1939,WILLIAM,1779
1917,J,1774
1924,JOSEPH,1774
1952,MICHAEL,1766
1962,MARK,1765
1931,ROBERT,1764
1970,JAMES,1764
1967,JAMES,1762
1985,ANDREW,1758
1981,RYAN,1748
1962,WILLIAM,1747
1973,ROBERT,1742
1982,DAVID,1738
1984,DAVID,1738
1963,MARK,1734
1951,RICHARD,1732
1961,PAUL,1729
1958,PAUL,1718
1960,MARK,1718
1960,PAUL,1718
1981,DAVID,1710
1991,CHRISTOPHER,1710
1961,MARK,1709
1930,ROBERT,1708
1984,ANDREW,1708
1935,ROBERT,1705
1933,ROBERT,1700
1937,WILLIAM,1699
1984,RYAN,1687
1959,PAUL,1676
1962,RICHARD,1675
1985,RYAN,1675
1963,RICHARD,1674
1983,RYAN,1674
1964,RICHARD,1673
1997,MATTHEW,1672
1975,ROBERT,1671
1934,ROBERT,1670
1962,PAUL,1669
1981,JASON,1669
1968,JAMES,1668
1929,ROBERT,1666
1982,JASON,1665
1974,ROBERT,1663
1992,CHRISTOPHER,1658
1982,RYAN,1656
1958,BRIAN,1652
1951,MICHAEL,1644
1969,JAMES,1639
1963,WILLIAM,1634
1998,MATTHEW,1634
1972,JOHN,1633
1985,DAVID,1631
1964,WILLIAM,1622
1983,ANDREW,1621
1995,MICHAEL,1620
1957,BRIAN,1618
1991,ANDREW,1616
1947,RICHARD,1614
1965,PAUL,1613
1985,DANIEL,1603
1959,BRIAN,1601
1957,PAUL,1598
1986,DANIEL,1598
1950,RICHARD,1578
1993,RYAN,1573
1989,DANIEL,1571
1992,RYAN,1569
1986,DAVID,1566
1969,CHRISTOPHER,1563
1971,JAMES,1560
1945,DAVID,1559
1928,ROBERT,1551
1931,DONALD,1544
1986,RYAN,1544
1976,ROBERT,1543
1932,DONALD,1541
1971,JOSEPH,1541
1984,ADAM,1538
1990,DANIEL,1538
1988,DAVID,1537
1956,PAUL,1533
1948,RICHARD,1532
1977,ROBERT,1530
1987,DAVID,1525
1927,ROBERT,1524
1983,JASON,1524
1941,JAMES,1521
1922,JOSEPH,1520
1956,BRIAN,1519
1967,PAUL,1517
1980,RYAN,1514
1933,DONALD,1512
1999,MATTHEW,1511
1959,MARK,1510
1960,BRIAN,1506
1966,PAUL,1504
1925,ROBERT,1502
1990,KYLE,1502
1949,RICHARD,1501
1990,JOSHUA,1499
1946,RICHARD,1498
1954,PAUL,1497
1996,MICHAEL,1497
1965,RICHARD,1494
1970,JASON,1491
1950,MICHAEL,1490
1974,JOSEPH,1490
1975,JOSEPH,1488
1930,JAMES,1487
1988,DANIEL,1485
1926,ROBERT,1483
1989,KYLE,1482
1987,RYAN,1477
1992,ANDREW,1476
2000,MATTHEW,1476
1980,MATTHEW,1470
1987,DANIEL,1466
1989,DAVID,1466
1923,J,1465
1992,BRANDON,1465
1940,JAMES,1462
1990,DAVID,1453
1968,CHRISTOPHER,1451
1947,DONALD,1449
1990,RYAN,1449
1924,ROBERT,1447
1924,JAMES,1444
1965,MARK,1439
1991,RYAN,1438
1968,PAUL,1436
1955,PAUL,1434
1963,KEVIN,1434
1947,RONALD,1433
1954,BRIAN,1429
1988,KYLE,1429
1961,STEPHEN,1428
1930,DONALD,1426
1955,BRIAN,1422
1938,JAMES,1421
1965,WILLIAM,1417
1979,RYAN,1416
1984,DANIEL,1416
1991,DANIEL,1415
1920,JAMES,1412
1983,ADAM,1404
1994,BRANDON,1404
1978,ROBERT,1403
1939,JAMES,1401
1991,JOSHUA,1397
1929,JAMES,1396
1994,RYAN,1396
2001,MATTHEW,1396
1959,STEPHEN,1392
1979,ROBERT,1392
1935,JAMES,1391
1982,ANDREW,1389
1921,ROBERT,1386
1944,DAVID,1386
1993,CHRISTOPHER,1384
1963,STEPHEN,1383
1972,JOSEPH,1382
1959,PETER,1379
1969,PAUL,1379
1992,DANIEL,1379
1953,PAUL,1378
1973,JAMES,1378
1962,BRIAN,1377
1984,JASON,1376
1921,JAMES,1375
1929,DONALD,1373
1922,ROBERT,1369
1943,DAVID,1369
1961,BRIAN,1369
1931,JAMES,1367
1988,JUSTIN,1365
1934,JAMES,1364
1935,DONALD,1364
1968,MARK,1364
1953,DONALD,1363
1973,JOHN,1363
1986,KYLE,1363
1955,DONALD,1358
1960,STEPHEN,1357
1976,JAMES,1356
1969,MARK,1355
1972,JAMES,1353
1995,NICHOLAS,1353
1920,ROBERT,1352
1991,KYLE,1352
1994,DANIEL,1352
1946,DONALD,1351
1950,DONALD,1351
1952,DONALD,1349
1989,JOSHUA,1349
1989,RYAN,1349
1948,DONALD,1347
1956,PETER,1347
1923,JAMES,1346
1923,ROBERT,1346
1925,JAMES,1346
1928,DONALD,1346
1985,ADAM,1346
1988,RYAN,1344
1949,DONALD,1343
1970,PAUL,1341
1962,STEPHEN,1339
1987,KYLE,1338
1920,GEORGE,1337
1993,BRANDON,1337
1966,CHRISTOPHER,1335
2002,ETHAN,1334
1970,MARK,1333
1932,JAMES,1331
1964,KEVIN,1331
1995,RYAN,1331
1946,RONALD,1329
1956,DONALD,1329
1936,JAMES,1326
1957,PETER,1326
1976,JOSEPH,1324
1922,JAMES,1322
1949,MICHAEL,1320
1958,PETER,1319
1997,MICHAEL,1318
1966,RICHARD,1317
1967,CHRISTOPHER,1317
1980,ROBERT,1317
1974,JAMES,1316
1964,BRIAN,1315
2002,MATTHEW,1315
1998,NICHOLAS,1312
1957,RONALD,1311
1986,ADAM,1310
1937,JAMES,1308
1996,NICHOLAS,1308
1952,PAUL,1307
1999,NICHOLAS,1307
1926,JAMES,1306
1952,BRIAN,1305
1970,STEVEN,1305
1992,JOSHUA,1303
1928,JAMES,1302
1965,CHRISTOPHER,1298
1977,JAMES,1298
1957,DONALD,1297
1953,BRIAN,1296
1966,WILLIAM,1295
1993,DANIEL,1294
1960,PETER,1293
1979,MATTHEW,1293
1958,STEPHEN,1292
1974,JOHN,1292
1954,DONALD,1291
1957,STEPHEN,1291
1982,JAMES,1290
1981,ROBERT,1289
1948,RONALD,1288
1934,DONALD,1285
1966,MARK,1282
1988,JOSHUA,1282
1963,BRIAN,1280
1973,JOSEPH,1280
1983,ROBERT,1279
1961,KEVIN,1278
1997,NICHOLAS,1278
1927,JAMES,1277
1978,JAMES,1277
1994,TYLER,1276
1933,JAMES,1275
1978,RYAN,1275
1962,PETER,1273
1995,DANIEL,1273
1919,JAMES,1272
1999,JACOB,1270
1968,RICHARD,1269
1975,JAMES,1269
1975,JOHN,1269
1993,JOSHUA,1269
1995,JOSHUA,1267
1994,JOSHUA,1262
1979,JAMES,1259
1962,KEVIN,1258
1918,JAMES,1257
1982,ADAM,1257
1993,ALEXANDER,1257
1961,PETER,1256
1951,DONALD,1255
1982,ROBERT,1253
1921,GEORGE,1248
1964,STEVEN,1248
1983,DANIEL,1248
1990,JUSTIN,1247
1955,PETER,1245
1992,TYLER,1244
1951,BRIAN,1243
1987,ADAM,1243
1985,KYLE,1242
1971,PAUL,1241
1958,MARK,1240
1960,DANIEL,1240
1957,MARK,1237
1959,DANIEL,1236
1923,GEORGE,1235
1922,GEORGE,1233
1991,BRANDON,1233
1998,JACOB,1233
1989,JUSTIN,1232
1985,JASON,1231
1992,KYLE,1230
1936,DONALD,1229
1943,DONALD,1229
1994,CHRISTOPHER,1229
1994,NICHOLAS,1225
1923,JOSEPH,1224
1965,STEVEN,1224
1967,WILLIAM,1222
1978,MATTHEW,1222
1983,JAMES,1222
1998,MICHAEL,1221
1977,JOSEPH,1219
1967,RICHARD,1217
1962,DANIEL,1216
1975,MARK,1216
1950,RONALD,1215
2001,JOSHUA,1215
1958,DANIEL,1214
1997,JOSHUA,1214
1917,JAMES,1213
1984,JAMES,1213
1965,KEVIN,1211
1974,MARK,1211
1996,RYAN,1210
1997,JACOB,1209
1967,MARK,1208
1970,KEVIN,1208
1990,JORDAN,1207
1917,GEORGE,1206
1949,RONALD,1205
1958,RONALD,1205
1991,DAVID,1204
1959,DONALD,1202
1951,PAUL,1200
1979,JOSEPH,1200
1987,JUSTIN,1199
2000,JOSHUA,1199
1993,TYLER,1198
1998,JOSHUA,1198
1953,THOMAS,1196
1993,ANDREW,1196
1995,TYLER,1196
2003,MATTHEW,1195
1951,RONALD,1194
1963,DANIEL,1194
1969,RICHARD,1194
1918,GEORGE,1193
1942,DAVID,1193
1963,STEVEN,1193
1969,STEVEN,1193
1996,JOSHUA,1193
1927,DONALD,1191
1977,RYAN,1191
1981,ANDREW,1191
1956,RONALD,1190
1961,DANIEL,1190
1994,ANDREW,1189
1964,STEPHEN,1183
1971,STEVEN,1183
1992,ALEXANDER,1183
1959,RONALD,1182
2004,ETHAN,1182
1967,STEVEN,1180
1982,DANIEL,1178
1924,GEORGE,1177
1981,ADAM,1177
1962,JEFFREY,1176
1937,DONALD,1175
1953,RONALD,1175
1994,ALEXANDER,1175
1944,DONALD,1174
1961,STEVEN,1174
1999,MICHAEL,1174
2003,ETHAN,1174
1954,DOUGLAS,1165
1985,ROBERT,1163
1962,STEVEN,1162
1973,MARK,1162
1986,ROBERT,1162
1973,KEVIN,1161
1985,JAMES,1161
2002,JOSHUA,1161
1964,DANIEL,1158
2004,MATTHEW,1158
1964,PETER,1157
1955,RONALD,1156
1984,ROBERT,1156
1943,RONALD,1155
1991,TYLER,1155
1955,DOUGLAS,1154
1980,ANDREW,1154
1995,ANDREW,1154
1957,THOMAS,1152
1963,PETER,1152
1999,JOSHUA,1151
1925,GEORGE,1150
1953,DOUGLAS,1149
1954,THOMAS,1145
1960,DONALD,1144
1993,KYLE,1144
1958,THOMAS,1143
1945,DONALD,1142
1981,JAMES,1142
1995,ALEXANDER,1142
1989,JAMES,1141
1950,BRIAN,1139
1965,BRIAN,1139
1970,RICHARD,1139
1942,DONALD,1138
2007,ETHAN,1138
1945,RONALD,1137
1958,DOUGLAS,1137
1969,KEVIN,1137
1952,DOUGLAS,1136
1966,KEVIN,1136
1978,JOSEPH,1136
1956,STEPHEN,1135
1964,CHRISTOPHER,1135
1948,MICHAEL,1134
1960,RONALD,1134
1977,JOHN,1134
1986,JAMES,1134
1986,JASON,1134
1988,ROBERT,1134
1992,DAVID,1134
1961,THOMAS,1133
1958,DONALD,1132
1989,ADAM,1132
1991,JUSTIN,1131
1964,JEFFREY,1130
1968,WILLIAM,1130
1960,KEVIN,1129
1979,ANDREW,1128
2000,NICHOLAS,1127
1971,MARK,1125
1990,JAMES,1125
1996,DANIEL,1125
1928,GEORGE,1124
1993,NICHOLAS,1124
1957,DOUGLAS,1123
1980,JAMES,1123
1954,RONALD,1122
1961,DONALD,1121
1955,STEPHEN,1119
1959,THOMAS,1119
1972,PAUL,1119
1954,PETER,1117
1966,JEFFREY,1117
1977,ANDREW,1117
1980,ADAM,1117
1952,RONALD,1116
1988,ADAM,1116
1952,THOMAS,1115
1970,WILLIAM,1114
1981,DANIEL,1114
1991,JORDAN,1114
1995,BRANDON,1114
1922,J,1113
1963,JEFFREY,1113
1939,DONALD,1112
1955,THOMAS,1112
1960,STEVEN,1112
1952,KENNETH,1111
1966,STEVEN,1110
1956,THOMAS,1108
1967,JEFFREY,1108
1982,JOSEPH,1108
1919,GEORGE,1107
1992,DYLAN,1107
1983,JOSEPH,1106
1989,NICHOLAS,1106
1979,JOHN,1105
1980,DANIEL,1105
1985,JOSEPH,1105
1954,GARY,1102
1971,KEVIN,1101
1976,JOHN,1100
2005,MATTHEW,1100
2001,JACOB,1098
2005,ETHAN,1098
1986,JOSEPH,1096
1987,JAMES,1096
1941,DONALD,1095
1947,MICHAEL,1095
1972,KEVIN,1095
1956,MARK,1094
1957,DANIEL,1094
1947,DOUGLAS,1093
1974,KEVIN,1091
2000,JACOB,1091
1950,PAUL,1090
1980,JOSEPH,1089
1969,WILLIAM,1087
1960,THOMAS,1086
1956,DOUGLAS,1083
1972,MARK,1083
1925,DONALD,1081
1954,KENNETH,1080
1938,DONALD,1079
1968,KEVIN,1079
1978,JOHN,1078
1971,SCOTT,1077
1955,GARY,1075
1987,JOSHUA,1075
1997,RYAN,1075
1959,DOUGLAS,1074
1940,DONALD,1073
2003,JOSHUA,1073
1951,DOUGLAS,1072
1985,JOSHUA,1072
1976,MARK,1070
1965,DANIEL,1069
1992,NICHOLAS,1069
1962,CHRISTOPHER,1066
1968,STEVEN,1066
1981,JOSEPH,1066
1965,PETER,1065
1953,KENNETH,1063
1961,DOUGLAS,1063
1977,MARK,1063
1988,JAMES,1063
1919,ROBERT,1062
1951,GARY,1062
1947,BRIAN,1061
1965,JEFFREY,1060
1967,BRIAN,1060
1956,KENNETH,1059
1963,CHRISTOPHER,1059
1927,GEORGE,1058
1949,PAUL,1058
1984,JOSEPH,1058
1999,RYAN,1057
2004,JOSHUA,1054
1951,THOMAS,1053
1996,ALEXANDER,1053
1957,KENNETH,1052
1960,CHRISTOPHER,1052
1972,STEVEN,1052
1980,JOHN,1052
1995,CHRISTOPHER,1052
1977,KEVIN,1050
1992,JUSTIN,1050
1961,RONALD,1049
1956,DANIEL,1046
1956,GARY,1046
1952,GARY,1045
1996,BRANDON,1045
1942,RONALD,1044
1949,KENNETH,1044
1996,TYLER,1044
1967,KEVIN,1043
1996,JACOB,1043
1924,J,1042
1990,NICHOLAS,1042
1992,JAMES,1042
2002,JACOB,1041
1926,GEORGE,1040
2001,NICHOLAS,1040
2009,ETHAN,1040
1949,BRIAN,1039
1953,PETER,1039
1961,JEFFREY,1038
1926,DONALD,1036
1990,TYLER,1035
1941,DAVID,1034
1959,STEVEN,1033
1989,ROBERT,1033
1991,JAMES,1033
2001,MICHAEL,1033
1966,BRIAN,1031
1991,ALEXANDER,1031
1995,JUSTIN,1031
1947,KENNETH,1030
1975,KEVIN,1029
2000,MICHAEL,1029
1941,RONALD,1028
1987,ROBERT,1027
1935,RONALD,1025
1964,TIMOTHY,1025
1997,DANIEL,1025
1962,DONALD,1024
1963,THOMAS,1024
1979,MARK,1023
1993,DAVID,1019
1940,DAVID,1017
1996,ANDREW,1017
1977,MATTHEW,1016
1990,ROBERT,1016
1998,RYAN,1016
1948,DOUGLAS,1015
1949,THOMAS,1015
1970,JEFFREY,1015
2008,ETHAN,1015
1949,DOUGLAS,1014
1971,RICHARD,1014
1979,ADAM,1013
1994,KYLE,1013
1975,JEFFREY,1012
1978,ANDREW,1012
1979,DANIEL,1011
2003,JACOB,1010
1961,CHRISTOPHER,1009
1962,THOMAS,1009
1950,THOMAS,1007
1954,STEPHEN,1007
1918,ROBERT,1006
1990,ALEXANDER,1006
1917,ROBERT,1005
1950,DOUGLAS,1003
1976,KEVIN,1003
